日期,標題,來源,連結
2026-08-31,華許傑克森霍爾首度主題演說：通膨連65個月未達2%目標，9月升息機率彈升至57.5%,口袋證券｜口袋學堂,https://www.pocket.tw/school/report/newflash/7832/
2026-08-31,Gap（GAP）2026年Q2財報優於預期，同步任命Michael Francis接掌Old Navy,口袋證券｜口袋學堂,https://www.pocket.tw/school/report/SB/7833/
2026-08-31,Affirm是什麼？2026財年GMV突破500億美元，與PayPal的BNPL業務比較一次看懂,口袋證券｜口袋學堂,https://www.pocket.tw/school/report/SB/7834/
2026-08-31,HBM是什麼？HBM概念股有哪些？2026年HBM4供應鏈整理,口袋證券｜口袋學堂,https://www.pocket.tw/school/report/perspective/5298/
2026-08-31,SEMICON Taiwan 2026半導體展登場：先進封裝、矽光子兩大關鍵技術與概念股名單一次看,口袋證券｜口袋學堂,https://www.pocket.tw/school/report/perspective/7835/
2026-08-31,AI基礎建設是什麼？從晶片、HBM到CPO與800VDC，一次看懂台美供應鏈,口袋證券｜口袋學堂,https://www.pocket.tw/school/report/perspective/7836/
2026-08-31,Gartner是什麼？半導體營收4個月二度上修，記憶體占比衝54%,口袋證券｜口袋學堂,https://www.pocket.tw/school/report/SB/7840/
2026-08-28,Okta(OKTA) 2027財年Q2財報：營收年增10.6%、EPS超預期，股價單日暴漲近29%,口袋證券｜口袋學堂,https://www.pocket.tw/school/report/SB/7824/
2026-08-28,Rubrik（RBRK）2027財年Q2營收年增38%，EPS轉盈超財測,口袋證券｜口袋學堂,https://www.pocket.tw/school/report/SB/7825/
2026-08-28,Dollar General (DG) Q2財報出爐，EPS年增33%、全年財測大幅上修,口袋證券｜口袋學堂,https://www.pocket.tw/school/report/SB/7826/
2026-08-28,加拿大宣布9月8日起對700多項美國商品課徵最高50%關稅，美加貿易戰全面升級,口袋證券｜口袋學堂,https://www.pocket.tw/school/report/newflash/7827/
2026-08-28,2026 蘋果發表會整理！9 月 10 日凌晨登場，iPhone 18 Pro、摺疊 iPhone 與蘋概股重點,口袋證券｜口袋學堂,https://www.pocket.tw/school/report/perspective/7828/
2026-08-28,G20會議是什麼？2026峰會時間、成員、運作方式與投資人觀察重點,口袋證券｜口袋學堂,https://www.pocket.tw/school/report/perspective/7829/
2026-08-28,三星電子、SK海力士與高通合作HBC，主要推進什麼？與HBM差在哪？,口袋證券｜口袋學堂,https://www.pocket.tw/school/report/SB/7830/
2026-08-28,MSCI 8月季度調整出爐！全球標準指數六進六出，南亞科(2408)終躋身標準指數成分股,口袋證券｜口袋學堂,https://www.pocket.tw/school/report/perspective/7774/
2026-08-27,美股四大指數是什麼？道瓊、標普500、那指、費半差異解析,口袋證券｜口袋學堂,https://www.pocket.tw/school/report/perspective/3559/
2026-08-27,亞馬遜AWS 宣布加碼200萬顆NVIDIA GPU，並導入Vera CPU迎戰代理式AI浪潮,口袋證券｜口袋學堂,https://www.pocket.tw/school/report/SB/5593/
2026-08-27,2026軸承概念股有哪些？軸承三雄新日興(3376)、兆利(3548)、富世達(6805)，上半年業績分化逾75個百分點？,口袋證券｜口袋學堂,https://www.pocket.tw/school/report/perspective/7778/
2026-08-27,CrowdStrike 2027財年Q2營收年增26%達14.71億美元，ARR創單季新高,口袋證券｜口袋學堂,https://www.pocket.tw/school/report/SB/7817/
2026-08-27,Salesforce(CRM) Q2財報優於預期，營收113.45億美元，AI ARR近39億美元、全年財測上修,口袋證券｜口袋學堂,https://www.pocket.tw/school/report/SB/7818/
2026-08-27,南亞科(2408) 盤中衝上555元歷史新高，記憶體族群續強的背後動能,口袋證券｜口袋學堂,https://www.pocket.tw/school/report/newflash/7820/
2026-08-27,Marvell (MRVL)財報前瞻，Q2 營收指引 27 億美元，市場更看 Q3 與 AI 客製化晶片,口袋證券｜口袋學堂,https://www.pocket.tw/school/report/newflash/7823/
2026-08-26,液冷散熱族群有哪些？散熱三雄：奇鋐、雙鴻、健策，AI伺服器供應鏈一次看懂,口袋證券｜口袋學堂,https://www.pocket.tw/school/report/perspective/7546/
2026-08-26,輝達財報將於8/26盤後公布Q2財報，法人估營收918億美元，優於財測且增速快於上季,口袋證券｜口袋學堂,https://www.pocket.tw/school/report/newflash/7811/
2026-08-26,蘋果發表 M6 世代Mac mini與Mac Studio，台積電 2 奈米首度亮相,口袋證券｜口袋學堂,https://www.pocket.tw/school/report/newflash/7812/
2026-08-26,比特幣衝破8.1萬美元創102天新高，黃金同步觸及4698美元三個月高點,口袋證券｜口袋學堂,https://www.pocket.tw/school/report/SB/7813/
2026-08-26,(AAPL)蘋果突襲發表新Mac mini，899美元起售價貴300美元，庫克任內最後一款新品,口袋證券｜口袋學堂,https://www.pocket.tw/school/report/SB/7814/
2026-08-25,散裝航運概念股有哪些？7月營收與上半年EPS表現，六檔代表個股船隊特色一次看,口袋證券｜口袋學堂,https://www.pocket.tw/school/report/perspective/6765/
2026-08-25,輝達 Groq 3 LPX 正式量產：三星代工晶片、單機櫃256顆衝刺代理式AI推論速度,口袋證券｜口袋學堂,https://www.pocket.tw/school/report/SB/7806/
2026-08-25,川普政府啟動「Operation Economic Outcast」(經濟棄民行動)，制裁近60個伊朗實體,口袋證券｜口袋學堂,https://www.pocket.tw/school/report/newflash/7807/
2026-08-25,Visa（V）大漲3.06%改寫歷史新高紀錄，萬事達卡跟漲、法人同步加碼布局,口袋證券｜口袋學堂,https://www.pocket.tw/school/report/SB/7808/
2026-08-25,輝達 Vera CPU登陸SpaceXAI衛星，太空資料中心明年第4季升空,口袋證券｜口袋學堂,https://www.pocket.tw/school/report/SB/7810/
2026-08-24,Robotaxi 拉斯維加斯主戰場！Tesla、Uber、Waymo全面核准,口袋證券｜口袋學堂,https://www.pocket.tw/school/report/SB/5256/
2026-08-24,生技醫療產概念股有哪些？藥華藥(6446)權重32%登指數之冠，年增57%創新高,口袋證券｜口袋學堂,https://www.pocket.tw/school/report/perspective/5378/
2026-08-24,矽晶圓是什麼？三大晶圓廠同步喊漲、矽晶圓概念股有哪些！,口袋證券｜口袋學堂,https://www.pocket.tw/school/report/perspective/7615/
2026-08-24,<財報倒數中> 輝達 (NVDA) 伺服器漲價逾15%，記憶體晶片飆升效應延燒,口袋證券｜口袋學堂,https://www.pocket.tw/school/report/newflash/7800/
